Country,Coffee type,Year Start,Year End,Total Production
Mexico,Arabica/Robusta,788918400,820368000,318000000.0
Nepal,Arabica,788918400,820368000,0.0
Nicaragua,Arabica,788918400,820368000,59100000.0
Nigeria,Robusta,788918400,820368000,3180000.0
Panama,Arabica,788918400,820368000,12540000.0
Sierra Leone,Robusta,788918400,820368000,2640000.0
Sri Lanka,Robusta/Arabica,788918400,820368000,2160000.0
Thailand,Robusta/Arabica,788918400,820368000,79020000.0
Togo,Robusta,788918400,820368000,5040000.0
Trinidad & Tobago,Robusta,788918400,820368000,1080000.0
Uganda,Robusta/Arabica,788918400,820368000,194640000.0
Venezuela,Arabica,788918400,820368000,88020000.0
Viet Nam,Robusta/Arabica,788918400,820368000,238200000.0
Yemen,Arabica,788918400,820368000,0.0
Angola,Robusta/Arabica,820454400,851990400,4260000.0
Bolivia,Arabica,820454400,851990400,7500000.0
Brazil,Arabica/Robusta,820454400,851990400,1751820000.0
Burundi,Arabica/Robusta,820454400,851990400,24060000.0
Ecuador,Arabica/Robusta,820454400,851990400,119580000.0
Indonesia,Robusta/Arabica,820454400,851990400,493260000.0
Madagascar,Robusta,820454400,851990400,50940000.0
Malawi,Arabica,820454400,851990400,2940000.0
Papua New Guinea,Arabica/Robusta,820454400,851990400,65340000.0
Paraguay,Arabica,820454400,851990400,1860000.0
Peru,Arabica,820454400,851990400,108360000.0
Rwanda,Arabica,820454400,851990400,17580000.0
Timor-Leste,Arabica,820454400,851990400,0.0
Zimbabwe,Arabica,820454400,851990400,10440000.0
Congo,Robusta,820454400,851990400,840000.0
Cuba,Arabica,820454400,851990400,21960000.0
Dominican Republic,Arabica/Robusta,820454400,851990400,31140000.0
Haiti,Arabica,820454400,851990400,25680000.0
Philippines,Robusta/Arabica,820454400,851990400,53400000.0
Tanzania,Arabica/Robusta,820454400,851990400,45840000.0
Zambia,Arabica,820454400,851990400,1980000.0
Cameroon,Robusta/Arabica,820454400,851990400,85920000.0
Central African Republic,Robusta,820454400,851990400,12480000.0
Colombia,Arabica,820454400,851990400,646740000.0
Costa Rica,Arabica,820454400,851990400,133320000.0
Côte d'Ivoire,Robusta,820454400,851990400,291540000.0
Democratic Republic of Congo,Robusta/Arabica,820454400,851990400,47700000.0
El Salvador,Arabica,820454400,851990400,152040000.0
Equatorial Guinea,Robusta,820454400,851990400,60000.0
Ethiopia,Arabica,820454400,851990400,204420000.0
Gabon,Robusta,820454400,851990400,60000.0
Ghana,Robusta,820454400,851990400,1920000.0
Guatemala,Arabica/Robusta,820454400,851990400,271500000.0
Guinea,Robusta,820454400,851990400,8880000.0
Guyana,Robusta,820454400,851990400,0.0
Honduras,Arabica,820454400,851990400,120240000.0
India,Robusta/Arabica,820454400,851990400,205020000.0
Jamaica,Arabica,820454400,851990400,3240000.0
Kenya,Arabica,820454400,851990400,74820000.0
Lao People's Democratic Republic,Robusta,820454400,851990400,0.0
Liberia,Robusta,820454400,851990400,300000.0
Mexico,Arabica/Robusta,820454400,851990400,306600000.0
Nepal,Arabica,820454400,851990400,0.0
Nicaragua,Arabica,820454400,851990400,47580000.0
